t (s),V (mV)
608.117,7.6955
609.117,7.6743
610.118,7.6772
611.117,7.6724
612.117,7.6635
613.118,7.6513
614.117,7.653
615.117,7.6311
616.118,7.637
617.117,7.6325
618.117,7.6189
619.118,7.6224
620.118,7.6124
621.118,7.6026
622.117,7.606
623.117,7.5941
624.117,7.5811
625.117,7.5664
626.118,7.5726
627.117,7.5667
628.118,7.565
629.118,7.5521
630.118,7.5441
631.118,7.5359
632.118,7.5341
633.118,7.5296
634.118,7.5211
635.118,7.5265
636.118,7.5202
637.117,7.5144
638.117,7.5039
639.117,7.4956
640.117,7.4866
641.117,7.4847
642.117,7.4651
643.118,7.4714
644.117,7.4649
645.118,7.4567
646.118,7.4459
647.117,7.4325
648.117,7.4246
649.118,7.4126
650.117,7.4186
651.122,7.4106
652.117,7.4
653.118,7.3874
654.118,7.3817
655.117,7.3789
656.117,7.3728
657.117,7.3624
658.118,7.3531
659.118,7.3484
660.117,7.3371
661.117,7.3315
662.117,7.3191
663.122,7.3163
664.117,7.3129
665.118,7.3102
666.119,7.2975
667.117,7.293
668.118,7.2888
669.118,7.2826
670.117,7.2764
671.117,7.2714
672.117,7.2574
673.118,7.2515
674.118,7.2528
675.117,7.238
676.117,7.2519
677.117,7.2264
678.117,7.2009
679.117,7.2069
680.118,7.207
681.118,7.1989
682.118,7.1927
683.118,7.1815
684.118,7.1833
685.118,7.1838
686.118,7.177
687.118,7.1808
688.117,7.164
689.117,7.151
690.117,7.1524
691.117,7.1483
692.117,7.1553
693.122,7.127
694.117,7.1306
695.118,7.1279
696.117,7.1132
697.117,7.1129
698.118,7.1125
699.117,7.1055
700.118,7.0991
701.118,7.1024
702.118,7.0842
703.117,7.077
704.117,7.0753
705.117,7.0671
706.118,7.0446
707.117,7.0446
708.118,7.035
709.118,7.0325
710.117,7.0241
711.117,7.027
712.117,7.0109
713.117,7.0173
714.117,6.9976
715.118,6.9956
716.117,6.9825
717.117,6.9782
718.117,6.9795
719.117,6.977
720.118,6.9561
721.118,6.9503
722.118,6.9677
723.118,6.9599
724.118,6.9637
725.117,6.9451
726.117,6.9243
727.118,6.9215
728.117,6.9138
729.118,6.9107
730.118,6.9278
731.118,6.9026
732.118,6.8901
733.118,6.8815
734.118,6.8762
735.118,6.8834
736.118,6.8752
737.118,6.8659
738.118,6.862
739.118,6.8464
740.118,6.8359
741.118,6.8359
742.117,6.8249
743.117,6.8365
744.117,6.8227
745.117,6.8246
746.118,6.8206
747.118,6.8036
748.117,6.8023
749.117,6.7974
750.117,6.8061
751.117,6.7986
752.117,6.7825
753.117,6.7703
754.118,6.763
755.117,6.7576
756.118,6.7608
757.118,6.7414
758.117,6.7416
759.118,6.7259
760.117,6.7139
761.118,6.7214
762.117,6.7192
763.118,6.722
764.117,6.7079
765.117,6.7145
766.118,6.7037
767.117,6.6828
768.117,6.6789
769.118,6.6766
770.117,6.6741
771.122,6.6723
772.117,6.6561
773.117,6.6531
774.118,6.6426
775.117,6.6491
776.117,6.6305
777.118,6.6303
778.117,6.6227
779.118,6.6238
780.117,6.6324
781.117,6.6202
782.117,6.6287
783.118,6.6083
784.117,6.6161
785.118,6.6196
786.118,6.5976
787.117,6.591
788.117,6.5909
789.117,6.5793
790.118,6.5843
791.117,6.5867
792.117,6.5777
793.118,6.5823
794.117,6.5676
795.117,6.5603
796.117,6.5558
797.118,6.5576
798.118,6.5329
799.117,6.5268
800.117,6.5226
801.117,6.525
802.118,6.5277
803.118,6.5012
804.117,6.502
805.117,6.4849
806.117,6.4935
807.117,6.4698
808.117,6.4649
809.117,6.4868
810.117,6.4848
811.118,6.4638
812.117,6.453
813.117,6.4352
814.117,6.4258
815.117,6.428
816.117,6.4286
817.117,6.438
818.117,6.4255
819.117,6.4121
820.117,6.3866
821.117,6.3843
822.117,6.3862
823.117,6.3578
824.117,6.3635
825.117,6.366
826.117,6.3715
827.117,6.3713
828.117,6.3633
829.117,6.3569
830.117,6.3562
831.117,6.3445
832.117,6.3347
833.118,6.3421
834.117,6.3295
835.117,6.3203
836.117,6.3237
837.117,6.3068
838.117,6.3015
839.117,6.3023
840.118,6.2797
841.118,6.2694
842.117,6.276
843.117,6.2707
844.118,6.2547
845.118,6.2694
846.117,6.2534
847.117,6.2521
848.118,6.2378
849.122,6.2298
850.117,6.2301
851.117,6.2233
852.117,6.2253
853.118,6.2306
854.117,6.2131
855.118,6.2104
856.117,6.2068
857.118,6.2044
858.117,6.202
859.118,6.1903
860.117,6.1852
861.117,6.1722
862.117,6.1703
863.117,6.1788
864.117,6.1611
865.117,6.1644
866.117,6.1534
867.122,6.1555
868.117,6.1553
869.118,6.128
870.117,6.122
871.117,6.1179
872.118,6.1122
873.117,6.1099
874.118,6.1101
875.117,6.1049
876.118,6.1028
877.117,6.1001
878.117,6.092
879.122,6.0878
880.117,6.0864
881.117,6.0686
882.117,6.0635
883.117,6.0533
884.118,6.0529
885.117,6.0466
886.117,6.0361
887.117,6.0424
888.117,6.0233
889.118,6.0296
890.117,6.0241
891.117,6.0099
892.117,6.0103
893.117,6.0129
894.117,5.9994
895.118,5.9886
